sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description,embed_data
11,"Director, Recreation and Entertainment",1120.3300,1218.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Recreation and Entertainment belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Recreation and Entertainment NCO 2015: 1120.3300, NCO 2004: 1218.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Recreation and Entertainment belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
12,"Working Proprietor, Gas",1120.0200,1211.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Gas belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Gas NCO 2015: 1120.0200, NCO 2004: 1211.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Gas belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
13,Director Manufacturing,1120.1800,1214.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,Director Manufacturing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.,"The occupation Director Manufacturing NCO 2015: 1120.1800, NCO 2004: 1214.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director Manufacturing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
14,"station Director, Radio/TV",1120.3400,1218.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"station Director, Radio/TV belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation station Director, Radio/TV NCO 2015: 1120.3400, NCO 2004: 1218.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: station Director, Radio/TV belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
15,"Working Proprietor, Water Supply",1120.0300,1211.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Water Supply belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Water Supply NCO 2015: 1120.0300, NCO 2004: 1211.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Water Supply belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
16,"Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade",1120.1900,1214.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade NCO 2015: 1120.1900, NCO 2004: 1214.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Wholesale Trade/Proprietor, Wholesale Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
17,Account Director ( Advertising Agency),1120.3401,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,Account Director ( Advertising Agency) belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.,"The occupation Account Director ( Advertising Agency) NCO 2015: 1120.3401, NCO 2004: nan belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Account Director ( Advertising Agency) belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
18,"Director, Electricity",1120.0400,1211.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Electricity belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Electricity NCO 2015: 1120.0400, NCO 2004: 1211.40 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Electricity belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
19,"Working Proprietor, Retail Trade/Proprietor, Retail Trade",1120.2000,1214.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Retail Trade/Proprietor, Retail Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Retail Trade/Proprietor, Retail Trade NCO 2015: 1120.2000, NCO 2004: 1214.40 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Retail Trade/Proprietor, Retail Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
20,Sales Director (Media Org),1120.3402,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,Sales Director (Media Org) belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.,"The occupation Sales Director (Media Org) NCO 2015: 1120.3402, NCO 2004: nan belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Sales Director (Media Org) belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
21,"Director, Gas",1120.0500,1211.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Gas belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Gas NCO 2015: 1120.0500, NCO 2004: 1211.50 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Gas belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
22,"Director, Wholesale Trade",1120.2100,1214.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Wholesale Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Wholesale Trade NCO 2015: 1120.2100, NCO 2004: 1214.50 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Wholesale Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
23,"Working Proprietor, Other Services",1120.3500,1219.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Other Services belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Other Services NCO 2015: 1120.3500, NCO 2004: 1219.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Other Services belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
24,"Director, Water Supply",1120.0600,1211.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Water Supply belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Water Supply NCO 2015: 1120.0600, NCO 2004: 1211.60 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Water Supply belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
25,"Director, Retail Trade",1120.2200,1214.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Retail Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Retail Trade NCO 2015: 1120.2200, NCO 2004: 1214.60 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Retail Trade belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
26,"Director, Other Services",1120.3600,1219.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Other Services belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Other Services NCO 2015: 1120.3600, NCO 2004: 1219.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Other Services belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
27,"Director, Bank",1120.0700,1212.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Bank belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Bank NCO 2015: 1120.0700, NCO 2004: 1212.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Bank belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
28,"Working Proprietor, Transport",1120.2300,1215.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Transport belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Transport NCO 2015: 1120.2300, NCO 2004: 1215.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Transport belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
29,"Director, Museum/Zoo",1120.3700,1219.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Museum/Zoo belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Museum/Zoo NCO 2015: 1120.3700, NCO 2004: 1219.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Museum/Zoo belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
30,"Director, Insurance",1120.0800,1212.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Insurance belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Insurance NCO 2015: 1120.0800, NCO 2004: 1212.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Insurance belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
31,"Director, Transport",1120.2400,1215.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Transport belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Transport NCO 2015: 1120.2400, NCO 2004: 1215.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Transport belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
32,Chief Librarian,1120.3800,1219.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,Chief Librarian belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.,"The occupation Chief Librarian NCO 2015: 1120.3800, NCO 2004: 1219.40 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Chief Librarian belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
33,"Working Proprietor, Mines/Proprietor, Mines",1120.0900,1213.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Mines/Proprietor, Mines belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Mines/Proprietor, Mines NCO 2015: 1120.0900, NCO 2004: 1213.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Mines/Proprietor, Mines belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
34,"Director, Communication",1120.2500,1215.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Communication belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Communication NCO 2015: 1120.2500, NCO 2004: 1215.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Communication belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
35,"Principal, College",1120.3900,1219.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Principal, College belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Principal, College NCO 2015: 1120.3900, NCO 2004: 1219.50 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Principal, College belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
36,"Working Proprietor, Quarry/Proprietor, Quarry",1120.1000,1213.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Quarry/Proprietor, Quarry belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Quarry/Proprietor, Quarry NCO 2015: 1120.1000, NCO 2004: 1213.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Quarry/Proprietor, Quarry belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
37,"Director, Airport",1120.2600,1215.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Airport belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Airport NCO 2015: 1120.2600, NCO 2004: 1215.40 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Airport belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
38,"Working Proprietor, Well Drilling/Proprietor, Well Drilling",1120.1100,1213.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Well Drilling/Proprietor, Well Drilling belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Well Drilling/Proprietor, Well Drilling NCO 2015: 1120.1100, NCO 2004: 1213.30 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Well Drilling/Proprietor, Well Drilling belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
39,"Working Proprietor, Storage and Warehousing",1120.2700,1216.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Storage and Warehousing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Storage and Warehousing NCO 2015: 1120.2700, NCO 2004: 1216.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Storage and Warehousing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
40,"Working Proprietor, Construction/Proprietor, Construction",1120.1200,1213.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Construction/Proprietor, Construction belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Construction/Proprietor, Construction NCO 2015: 1120.1200, NCO 2004: 1213.40 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Construction/Proprietor, Construction belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
41,"Director, Storage and Warehousing",1120.2800,1216.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Storage and Warehousing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Storage and Warehousing NCO 2015: 1120.2800, NCO 2004: 1216.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Storage and Warehousing belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
42,"Director, Construction",1120.1300,1213.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Construction belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Construction NCO 2015: 1120.1300, NCO 2004: 1213.50 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Construction belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
43,"Working Proprietor, Lodging and Catering Services",1120.2900,1217.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Lodging and Catering Services belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Working Proprietor, Lodging and Catering Services NCO 2015: 1120.2900, NCO 2004: 1217.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Working Proprietor, Lodging and Catering Services belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
44,"Director, Mines",1120.1400,1213.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Mines belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Mines NCO 2015: 1120.1400, NCO 2004: 1213.60 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Mines belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
45,"Director, Lodging and Catering Services/Director Food and Beverage Service",1120.3000,1217.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Director, Lodging and Catering Services/Director Food and Beverage Service belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Director, Lodging and Catering Services/Director Food and Beverage Service NCO 2015: 1120.3000, NCO 2004: 1217.20 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Director, Lodging and Catering Services/Director Food and Beverage Service belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
46,"Managing Directors and Chief Executives, Others",1120.9900,1211.90,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Directors and Chief Executives, Others belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division.","The occupation Managing Directors and Chief Executives, Others NCO 2015: 1120.9900, NCO 2004: 1211.90 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Managing Directors and Chief Executives, and family Managing Directors and Chief Executives. Description: Managing Directors and Chief Executives, Others belongs to the Managing Directors and Chief Executives family under Managing Directors and Chief Executives group in the Managers division."
47,"Administrative Official, Union Government",1112.0100,1121.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Administrative Official, Union Government belongs to the Senior Government Officials family under Legislators and Senior Officials group in the Managers division.","The occupation Administrative Official, Union Government NCO 2015: 1112.0100, NCO 2004: 1121.10 belongs to division Managers, subdivision Chief Executives, Senior Officials and Legislators, group Legislators and Senior Officials, and family Senior Government Officials. Description: Administrative Official, Union Government belongs to the Senior Government Officials family under Legislators and Senior Officials group in the Managers division."
