sno,occupation_title,nco_2015,nco_2004,division,subdivision,group,family,description
19,"Working Proprietor, Retail Trade/Proprietor, Retail Trade",1120.2000,1214.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Retail Trade/Proprietor, Retail Trade encompasses individuals who operate and manage retail businesses independently, typically responsible for the day-to-day operations of a store or establishment. These individuals are focused on the strategic and operational aspects of a retail business, including sales, marketing, inventory management, and customer service. They generally hold significant ownership and decision-making authority within a retail environment, ensuring the profitability and overall success of their business. This role often involves a blend of retail expertise and business management principles."
20,Sales Director (Media Org),1120.3402,,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Sales Director (Media Org) is a senior executive responsible for overseeing the strategic sales activities of a media organization. This role encompasses the entire sales process, from lead generation and account management to closing deals and managing sales team performance.  They are tasked with maximizing revenue streams through effective sales strategies and maintaining strong relationships with key clients.  The Sales Director (Media Org) focuses on driving growth and profitability within a defined portfolio of media properties."
21,"Director, Gas",1120.0500,1211.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Gas is a senior leadership role responsible for overseeing all aspects of gas operations within a company or organization. This individual is accountable for strategic planning, financial management, and the overall performance of gas-related activities, encompassing exploration, production, distribution, and utilization.  They typically lead teams of engineers, technicians, and business professionals, ensuring compliance with industry regulations and maintaining high standards of safety and efficiency.  The Director, Gas plays a critical role in driving business growth and optimizing gas resources across the enterprise."
22,"Director, Wholesale Trade",1120.2100,1214.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Wholesale Trade oversees the strategic direction and execution of sales and marketing efforts within a company’s wholesale distribution network. This role encompasses the management of a team of sales representatives, financial performance, and the overall profitability of the wholesale division. The Director is responsible for establishing and maintaining key relationships with wholesale clients, ensuring efficient order fulfillment, and optimizing inventory management across the network.  They also play a critical role in developing and implementing strategies to expand market share and growth within the wholesale sector."
23,"Working Proprietor, Other Services",1120.3500,1219.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Other Services encompasses a diverse range of roles focused on business ownership and management. This occupation involves the operation of a business entity, often with significant autonomy and responsibility for strategic decisions and operational execution.  The individual typically oversees the day-to-day activities of a business, ensuring its profitability and growth while maintaining a certain level of personal investment or ownership stake. This position necessitates a combination of business acumen, financial management, and operational oversight, frequently centered around serving a specific client or market."
24,"Director, Water Supply",1120.0600,1211.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Water Supply, is a senior managerial role focused on the strategic planning and management of water resources within a jurisdiction. This position encompasses the oversight of all aspects of water infrastructure, including treatment, distribution, and conservation programs.  The Director is responsible for developing and implementing long-term water management strategies, ensuring compliance with regulations, and overseeing budgets allocated to water systems. Their expertise includes risk assessment, technical expertise, and leadership in fostering collaborative partnerships to maintain the reliability and sustainability of water supplies."
25,"Director, Retail Trade",1120.2200,1214.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Retail Trade is a managerial role focused on overseeing the operational aspects of retail businesses. This position requires a deep understanding of retail principles, including store operations, marketing, and financial management. The Director, Retail Trade is responsible for ensuring the efficient and profitable performance of a diverse portfolio of retail outlets. They will lead strategic planning, resource allocation, and team development to achieve organizational goals related to sales, customer service, and profitability within the retail sector."
26,"Director, Other Services",1120.3600,1219.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Other Services, is a senior management role focused on overseeing a diverse range of operational and strategic initiatives. This position is responsible for the overall performance and direction of specific service areas, ensuring alignment with organizational goals and maximizing value creation. They analyze complex situations, make critical decisions, and provide leadership to a team of professionals dedicated to delivering exceptional results across multiple departments. The Director, Other Services plays a key role in implementing strategic plans and fostering collaborative teamwork within the organization."
27,"Director, Bank",1120.0700,1212.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Bank represents a leadership position focused on the overall strategic direction and operational effectiveness of a bank’s activities. This role encompasses planning and overseeing the bank’s financial performance, risk management, and compliance with regulatory standards. The Director, Bank is responsible for establishing and maintaining a robust organizational structure, ensuring efficient resource allocation, and driving innovation within the bank’s portfolio.  They also influence strategic decisions impacting the bank’s long-term growth and market position."
28,"Working Proprietor, Transport",1120.2300,1215.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Transport encompasses individuals responsible for the overall management and operation of transportation services, including vehicles, routes, and logistics. These professionals oversee a wide range of activities, from fleet maintenance and vehicle operation to route planning and customer service. They typically establish and maintain transportation networks, ensuring efficient and safe operations across various modes of transport. Their role involves significant decision-making regarding resource allocation, operational efficiency, and compliance with regulations."
29,"Director, Museum/Zoo",1120.3700,1219.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Museum/Zoo, is a senior-level manager responsible for the overall strategic direction, financial management, and operational effectiveness of a museum or zoo institution.  This role encompasses extensive planning and budgeting, ensuring alignment with the organization’s mission and goals while prioritizing visitor experience and conservation efforts.  The Director oversees all aspects of the facility's operations, including staff management, exhibit development, fundraising, and community engagement.  They are accountable for maximizing the institution’s impact and longevity through effective leadership and resource allocation."
30,"Director, Insurance",1120.0800,1212.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Insurance is a senior management position focused on overseeing all aspects of insurance operations within a specific organization. This role requires strategic leadership, financial responsibility, and a deep understanding of the insurance industry landscape. The Director, Insurance is responsible for setting and executing business objectives, managing budgets, and ensuring compliance with regulatory requirements. They interact with stakeholders, analyze market trends, and develop long-term plans for growth and profitability."
31,"Director, Transport",1120.2400,1215.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Transport is a senior management role responsible for overseeing all aspects of transportation operations within an organization. This position requires a comprehensive understanding of transportation infrastructure, logistics, and regulatory compliance. The Director, Transport is expected to develop and implement strategic plans that enhance efficiency, safety, and sustainability across the transportation network. They will lead a team of transportation professionals and ensure adherence to established policies and procedures."
32,Chief Librarian,1120.3800,1219.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Chief Librarian is a senior-level executive responsible for the overall management and operations of a library system or institution. This role encompasses strategic planning, budgetary oversight, and the development of policies that support the library’s mission and resources. The Chief Librarian leads a team of librarians and staff, ensuring the delivery of exceptional services to patrons and community members. They are accountable for the library’s financial health, intellectual property, and overall reputation."
33,"Working Proprietor, Mines/Proprietor, Mines",1120.0900,1213.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Mines/Proprietor, Mines encompasses individuals responsible for the overall management and operation of mining operations. These professionals oversee all aspects of mining activities, from exploration and extraction to processing and marketing of mineral resources. They are accountable for the financial and operational success of mining enterprises, often making strategic decisions regarding resource allocation and profitability.  The role typically involves significant responsibility for safety, environmental compliance, and the long-term viability of the mining business."
34,"Director, Communication",1120.2500,1215.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Communication oversees and manages all aspects of internal and external communication within an organization.  This role encompasses strategic planning, resource allocation, and execution of communication initiatives across various platforms and channels.  The Director, Communication is responsible for maintaining brand consistency, fostering employee engagement, and ensuring effective communication with stakeholders. They lead a team of communication specialists and work collaboratively to achieve organizational goals through clear and compelling messaging."
35,"Principal, College",1120.3900,1219.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Principal, College, is a senior leadership role within higher education institutions. This position encompasses significant strategic planning and operational oversight, responsible for the overall management and success of the college’s academic, financial, and administrative functions. The Principal oversees the implementation of strategic plans, ensures compliance with regulatory requirements, and fosters a positive and productive work environment for faculty, staff, and students. They are accountable for the college’s mission and value proposition within the broader community, demonstrating a commitment to educational excellence and institutional growth."
36,"Working Proprietor, Quarry/Proprietor, Quarry",1120.1000,1213.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Quarry/Proprietor, Quarry encompasses individuals responsible for the overall management and operations of quarries, including land acquisition, site planning, and resource extraction. These professionals oversee the financial and operational aspects of quarry operations, ensuring efficient resource utilization and adherence to safety standards. They typically oversee large-scale operations, manage labor and equipment, and are accountable for the profitability and sustainability of the quarry’s activities.  This role requires a comprehensive understanding of legal regulations and environmental considerations within the industry."
37,"Director, Airport",1120.2600,1215.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Airport, is a senior management position responsible for overseeing all operations within a specific airport facility. This role encompasses strategic planning, financial management, and operational oversight, ensuring the efficient and safe functioning of the airport. The Director works closely with various departments, including security, operations, and maintenance, to achieve key performance indicators and maintain compliance with regulations.  Their primary responsibilities include budget allocation, employee supervision, and the overall advancement of airport infrastructure and services."
38,"Working Proprietor, Well Drilling/Proprietor, Well Drilling",1120.1100,1213.30,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Well Drilling/Proprietor, Well Drilling encompasses individuals responsible for the operation and management of well drilling operations. This role typically involves overseeing drilling contractors, analyzing drilling data, and ensuring compliance with safety regulations and environmental standards.  The proprietor conducts strategic planning, financial management, and resource allocation within the well drilling business, establishing and maintaining client relationships.  This position requires a strong understanding of drilling techniques, equipment maintenance, and risk mitigation, with ultimate responsibility for the profitability and operational efficiency of the well drilling business."
39,"Working Proprietor, Storage and Warehousing",1120.2700,1216.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Storage and Warehousing encompasses professionals responsible for the management and operation of facilities dedicated to the storage and warehousing of goods. This role involves overseeing all aspects of warehouse operations, including inventory management, safety protocols, and logistical planning. The individual typically possesses a comprehensive understanding of warehousing practices and is responsible for ensuring the efficient and secure storage of products, adhering to industry standards and regulations.  They typically oversee the overall functionality and profitability of a specific warehouse or group of warehouses."
40,"Working Proprietor, Construction/Proprietor, Construction",1120.1200,1213.40,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The occupation of Working Proprietor, Construction/Proprietor, Construction encompasses individuals responsible for the overall management and operation of construction projects and properties. These professionals oversee all aspects of a construction business, from initial planning and budgeting to site supervision, contractor management, and ultimately, the completion of projects. They typically hold significant decision-making authority and are accountable for the financial health and operational efficiency of their construction enterprises.  Their role involves strategic leadership, resource allocation, and ensuring projects are delivered on time and within budget."
41,"Director, Storage and Warehousing",1120.2800,1216.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Storage and Warehousing, is a management position overseeing the efficient operation of storage and distribution facilities. This role involves strategic planning, resource allocation, and the maintenance of inventory control systems.  They are responsible for ensuring timely and accurate delivery of goods, optimizing warehouse space utilization, and maintaining stringent safety standards.  The Director oversees a team of warehouse personnel and contributes to the overall operational efficiency of the company’s supply chain."
42,"Director, Construction",1120.1300,1213.50,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Construction is a senior managerial role responsible for overseeing all aspects of construction projects within a specific organization or jurisdiction. This individual possesses comprehensive knowledge of construction practices, regulations, and industry trends. Their primary duties include strategic planning, budget management, team leadership, and ensuring projects are completed safely, on time, and within budget. The Director, Construction also serves as a key point of contact for clients, stakeholders, and internal teams, advocating for best practices and maintaining quality standards throughout the construction process."
43,"Working Proprietor, Lodging and Catering Services",1120.2900,1217.10,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Working Proprietor, Lodging and Catering Services encompasses the management of establishments focused on providing accommodation and food services. This role involves the strategic planning and operational oversight of hotels, restaurants, and related facilities. The proprietor is responsible for overseeing all aspects of business operations, including revenue generation, staff management, and maintenance of property. They typically establish and maintain brand standards, ensuring a high level of customer satisfaction and profitability."
44,"Director, Mines",1120.1400,1213.60,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Mines is a senior managerial role responsible for overseeing all aspects of mining operations within a specific jurisdiction. This position demands strategic leadership, financial acumen, and extensive knowledge of mining practices and regulatory compliance. The Director, Mines is responsible for developing and executing long-term strategies to maximize resource extraction while maintaining environmental and safety standards. They also oversee resource management, personnel, and overall operational efficiency within the mines’ portfolio."
45,"Director, Lodging and Catering Services/Director Food and Beverage Service",1120.3000,1217.20,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"The Director, Lodging and Catering Services, or Director Food and Beverage Service, is a senior management role responsible for the overall operation and strategic direction of lodging and catering facilities. This individual oversees all aspects of guest experience, including room maintenance, food preparation, service standards, and staff management. They are accountable for ensuring the efficient and profitable operation of these facilities, adhering to established policies and procedures. The role requires a strong understanding of hospitality best practices and the ability to lead and develop a high-performing team."
46,"Managing Directors and Chief Executives, Others",1120.9900,1211.90,Managers,"Chief Executives, Senior Officials and Legislators",Managing Directors and Chief Executives,Managing Directors and Chief Executives,"Managing Directors and Chief Executives, Others represent a specialized group of professionals focused on strategic leadership and operational oversight within organizations. This classification encompasses individuals responsible for directing the overall course of business, encompassing significant decision-making and long-term planning.  They often oversee various departments and functions, ensuring alignment with company goals and overall organizational objectives.  These individuals typically lead teams and contribute to the financial and strategic success of a company, acting as vital components of managerial structures."
47,"Administrative Official, Union Government",1112.0100,1121.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Administrative Officials, Union Government, are responsible for the strategic management and operational oversight of governmental agencies and departments within a national union. This role encompasses a wide range of duties, including policy development, budget management, regulatory compliance, and ensuring efficient delivery of public services. They typically analyze data, make critical decisions impacting numerous citizens, and advocate for the agency’s objectives within the political landscape. Their responsibilities frequently involve coordinating with various stakeholders and overseeing the overall effectiveness of the union’s operations."
48,Diplomat,1112.0200,1121.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"The diplomat is a professional tasked with representing a nation’s interests abroad through a variety of diplomatic channels. Their responsibilities encompass navigating complex international relations, facilitating communication, and securing agreements between nations. Diplomats work to foster peaceful relations, resolve conflicts, and promote national interests through negotiation, public diplomacy, and other strategic initiatives. They often require extensive travel, cultural understanding, and a deep understanding of international law and policy."
49,"Executive Officials, Union Government",1112.0300,1121.30,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Executive Officials, Union Government encompass individuals appointed to positions of leadership within the national government, including those serving as Chief Executives, Senior Officials, and Legislators. This group comprises individuals responsible for shaping policy, directing operations, and overseeing the implementation of laws and regulations. Their responsibilities often involve strategic planning, decision-making, and representing the interests of the nation through various legislative and administrative processes. This designation reflects a high degree of authority and influence within the governmental structure."
50,"Administrative Official, State Government",1112.0400,1122.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Administrative Officials, State Government, are responsible for overseeing the operations and management of state government agencies. These professionals typically focus on policy development, resource allocation, and the execution of legislation within the state’s framework. Their roles encompass a broad range of duties including strategic planning, budget management, and ensuring compliance with state laws and regulations. They contribute significantly to the efficient and effective administration of state services and programs, working at various levels within the state’s governmental structure."
51,"Executive Official, State Government",1112.0500,1122.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Executive Official, State Government represents a leadership role within state governmental structures. This occupation involves managing and directing the operations of state agencies and departments, often with significant influence over policy and resource allocation.  The role typically entails strategic planning, decision-making, and representing the state’s interests at the local, regional, and national levels. It frequently involves overseeing complex projects, managing large budgets, and ensuring compliance with state laws and regulations.  These officials are responsible for implementing policies and achieving goals aligned with the state’s overall mission."
52,"Administrative and Executive Officials, Quasi Government (Central)",1112.0600,1123.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Administrative and Executive Officials, Quasi Government (Central) encompass individuals responsible for the governance and management of governmental organizations and institutions. This group includes leaders who oversee strategic direction and policy implementation across various levels of government, often utilizing executive authority. Their roles typically involve complex decision-making, resource allocation, and the effective utilization of public funds. These officials are crucial for maintaining operational efficiency and ensuring compliance with legal and regulatory frameworks."
53,"Administrative & Executive Officials, Quasi Government (State)",1112.0700,1123.20,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Administrative and executive officials, specifically those within the State government, encompass positions of leadership and influence within the administrative and executive branches of state government. These individuals are responsible for formulating and implementing policy, overseeing state operations, and managing resources across various departments and agencies. They frequently engage in legislative duties, including the drafting and consideration of laws and ordinances, and hold significant positions within the state’s governance structure. Their responsibilities often require a broad range of skills, including strategic planning, budget management, and representation of the state’s interests to the public."
54,"Administrative and Executive Officials, Local Bodies",1112.0800,1124.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Administrative and Executive Officials, Local Bodies encompass individuals responsible for the governance and management of local government entities. These officials typically oversee administrative functions, strategic planning, and resource allocation within municipalities and rural areas. Their roles encompass significant decision-making, ensuring efficient service delivery and community engagement. The position requires a broad range of responsibilities including policy development, financial management, and representation of local interests."
55,"Senior Government Officials, Other",1112.9900,1129.90,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Senior Government Officials,"Senior Government Officials, Other encompass individuals who hold positions of significant influence within the executive branch of government. This category includes individuals responsible for policy development, implementation, and oversight at various levels, from the executive to legislative branches. They often manage complex operations, advocate for specific interests, and influence national priorities. These officials typically possess a broad range of experience and expertise, demanding considerable leadership and strategic thinking skills.  Their responsibilities frequently involve substantial decision-making and representing the interests of a nation or significant region."
56,"Elected Official, Local Bodies",1111.0300,1113.10,Managers,"Chief Executives, Senior Officials and Legislators",Legislators and Senior Officials,Legislators,"The occupation of Elected Official, Local Bodies encompasses individuals elected to represent and serve the community at the local level. These officials hold positions of authority within local government, responsible for overseeing various aspects of local governance, including planning, infrastructure, and public services. Their responsibilities typically involve representing the public interests, enacting local laws, and managing local resources. These elected officials play a crucial role in shaping the direction and operation of communities through direct participation in local decision-making processes."
